Ostrich,Struthio camelus,TC000001
Fuelleborn's Boubou,Laniarius fuelleborni,TC007083
Rosy-patched Bushshrike,Rhodophoneus cruentus,TC007084
Bokmakierie,Telophorus zeylonus,TC007085
Gray-green Bushshrike,Telophorus bocagei,TC007086
Sulphur-breasted Bushshrike,Telophorus sulfureopectus,TC007087
Olive Bushshrike,Telophorus olivaceus,TC007088
Many-colored Bushshrike,Telophorus multicolor,TC007089
Black-fronted Bushshrike,Telophorus nigrifrons,TC007090
Mt. Kupe Bushshrike,Telophorus kupeensis,TC007091
Four-colored Bushshrike,Telophorus viridis,TC007092
Doherty's Bushshrike,Telophorus dohertyi,TC007093
Fiery-breasted Bushshrike,Malaconotus cruentus,TC007094
Lagden's Bushshrike,Malaconotus lagdeni,TC007095
Green-breasted Bushshrike,Malaconotus gladiator,TC007096
Gray-headed Bushshrike,Malaconotus blanchoti,TC007097
Monteiro's Bushshrike,Malaconotus monteiri,TC007098
Uluguru Bushshrike,Malaconotus alius,TC007099
Black-breasted Boatbill,Machaerirhynchus nigripectus,TC007100
Yellow-breasted Boatbill,Machaerirhynchus flaviventer,TC007101
Ashy Woodswallow,Artamus fuscus,TC007123
Fiji Woodswallow,Artamus mentalis,TC007124
Ivory-backed Woodswallow,Artamus monachus,TC007125
Great Woodswallow,Artamus maximus,TC007126
White-breasted Woodswallow,Artamus leucorynchus,TC007127
Bismarck Woodswallow,Artamus insignis,TC007128
Masked Woodswallow,Artamus personatus,TC007129
White-browed Woodswallow,Artamus superciliosus,TC007130
Black-faced Woodswallow,Artamus cinereus,TC007131
Dusky Woodswallow,Artamus cyanopterus,TC007134
Little Woodswallow,Artamus minor,TC007135
Mountain Peltops,Peltops montanus,TC007137
Lowland Peltops,Peltops blainvillii,TC007138
Black-backed Butcherbird,Cracticus mentalis,TC007139
Gray Butcherbird,Cracticus torquatus,TC007140
Silver-backed Butcherbird,Cracticus argenteus,TC007141
Hooded Butcherbird,Cracticus cassicus,TC007142
Tagula Butcherbird,Cracticus louisiadensis,TC007143
Pied Butcherbird,Cracticus nigrogularis,TC007144
Black Butcherbird,Cracticus quoyi,TC007145
Australasian Magpie,Gymnorhina tibicen,TC007146
Pied Currawong,Strepera graculina,TC007154
Black Currawong,Strepera fuliginosa,TC007155
Gray Currawong,Strepera versicolor,TC007156
Bornean Bristlehead,Pityriasis gymnocephala,TC007162
Common Iora,Aegithina tiphia,TC007163
White-tailed Iora,Aegithina nigrolutea,TC007164
Green Iora,Aegithina viridissima,TC007165
Great Iora,Aegithina lafresnayei,TC007166
White-bellied Minivet,Pericrocotus erythropygius,TC007244
Fiery Minivet,Pericrocotus igneus,TC007242
Small Minivet,Pericrocotus cinnamomeus,TC007240
Gray-chinned Minivet,Pericrocotus solaris,TC007249
Sunda Minivet,Pericrocotus miniatus,TC007247
Short-billed Minivet,Pericrocotus brevirostris,TC007246
Flores Minivet,Pericrocotus lansbergei,TC007243
Long-tailed Minivet,Pericrocotus ethologus,TC007245
Orange Minivet,Pericrocotus flammeus,TC012751
Scarlet Minivet,Pericrocotus speciosus,TC007248
Ryukyu Minivet,Pericrocotus tegimae,TC007241
Ashy Minivet,Pericrocotus divaricatus,TC007239
Brown-rumped Minivet,Pericrocotus cantonensis,TC007238
Rosy Minivet,Pericrocotus roseus,TC007237
Ashy Cuckooshrike,Coracina cinerea,TC007193
Grauer's Cuckooshrike,Coracina graueri,TC007192
Gray Cuckooshrike,Coracina caesia,TC007191
White-breasted Cuckooshrike,Coracina pectoralis,TC007189
Stout-billed Cuckooshrike,Coracina caeruleogrisea,TC007175
Hooded Cuckooshrike,Coracina longicauda,TC007185
Pied Cuckooshrike,Coracina bicolor,TC007177
Cerulean Cuckooshrike,Coracina temminckii,TC007180
Ground Cuckooshrike,Coracina maxima,TC007167
Barred Cuckooshrike,Coracina lineata,TC007181
Boyer's Cuckooshrike,Coracina boyeri,TC007182
Black-faced Cuckooshrike,Coracina novaehollandiae,TC007174
North Melanesian Cuckooshrike,Coracina welchmani,TC012630
White-bellied Cuckooshrike,Coracina papuensis,TC007184
Moluccan Cuckooshrike,Coracina atriceps,TC007178
Manus Cuckooshrike,Coracina ingens,TC012875
South Melanesian Cuckooshrike,Coracina caledonica,TC007173
Large Cuckooshrike,Coracina macei,TC007168
Bar-bellied Cuckooshrike,Coracina striata,TC007176
Andaman Cuckooshrike,Coracina dobsoni,TC012224
Sunda Cuckooshrike,Coracina larvata,TC007169
Javan Cuckooshrike,Coracina javensis,TC007170
Wallacean Cuckooshrike,Coracina personata,TC007172
Buru Cuckooshrike,Coracina fortis,TC007179
White-rumped Cuckooshrike,Coracina leucopygia,TC007183
Slaty Cuckooshrike,Coracina schistacea,TC007171
Ghana Cuckooshrike,Lobotos lobatus,TC007235
Oriole Cuckooshrike,Lobotos oriolinus,TC007236
Black Cuckooshrike,Campephaga flava,TC007232
Petit's Cuckooshrike,Campephaga petiti,TC007231
Red-shouldered Cuckooshrike,Campephaga phoenicea,TC007233
Purple-throated Cuckooshrike,Campephaga quiscalina,TC007234
Golden Cuckooshrike,Campochaera sloetii,TC007216
McGregor's Cuckooshrike,Malindangia mcgregori,TC007209
Polynesian Triller,Lalage maculosa,TC007228
Samoan Triller,Lalage sharpei,TC007227
Long-tailed Triller,Lalage leucopyga,TC007229
White-shouldered Triller,Lalage sueurii,TC007220
White-winged Triller,Lalage tricolor,TC007222
Black-browed Triller,Lalage atrovirens,TC007226
White-browed Triller,Lalage moesta,TC007224
Varied Triller,Lalage leucomela,TC007225
Mussau Triller,Lalage conjuncta,TC012863
Black-and-white Triller,Lalage melanoleuca,TC007217
White-rumped Triller,Lalage leucopygialis,TC007219
Pied Triller,Lalage nigra,TC007218
Rufous-bellied Triller,Lalage aurea,TC007223
Reunion Cuckooshrike,Lalage newtoni,TC007195
Mauritius Cuckooshrike,Lalage typica,TC007194
Black-winged Cuckooshrike,Lalage melaschistos,TC007212
Black-headed Cuckooshrike,Lalage melanoptera,TC007214
Lesser Cuckooshrike,Lalage fimbriata,TC007213
Indochinese Cuckooshrike,Lalage polioptera,TC007210
Pygmy Cuckooshrike,Celebesia abbotti,TC007187
Halmahera Cuckooshrike,Celebesia parvula,TC007186
Blue Cuckooshrike,Cyanograucalus azureus,TC007190
New Caledonian Cuckooshrike,Analisoma analis,TC007188
Blackish Cuckooshrike,Analisoma coerulescens,TC007197
White-winged Cuckooshrike,Analisoma ostenta,TC007211
Black-bellied Cicadabird,Edolisoma montanum,TC007207
Pale Cicadabird,Edolisoma ceramense,TC007203
Kai Cicadabird,Edolisoma dispar,TC007200
Pale-shouldered Cicadabird,Edolisoma dohertyi,TC007198
Black-bibbed Cuckooshrike,Edolisoma mindanense,TC007201
Manus Cicadabird,Edolisoma admiralitatis,TC013087
Makira Cicadabird,Edolisoma salomonis,TC012371
Solomons Cuckooshrike,Edolisoma holopolium,TC007208
Papuan Cicadabird,Edolisoma incertum,TC007204
Sulawesi Cicadabird,Edolisoma morio,TC007202
Sula Cicadabird,Edolisoma sula,TC007199
Common Cicadabird,Edolisoma tenuirostre,TC007196
Gray-headed Cicadabird,Edolisoma schisticeps,TC007205
Black Cicadabird,Edolisoma melan,TC007206
Black Sittella,Daphoenositta miranda,TC007253
Varied Sittella,Daphoenositta chrysoptera,TC007254
Wattled Ploughbill,Eulacestoma nigropectus,TC007322
Crested Shrike-tit,Falcunculus frontatus,TC007264
Rusty Pitohui,Colluricincla ferruginea,TC007318
White-bellied Pitohui,Colluricincla incerta,TC007317
Rufous Shrike-Thrush,Colluricincla megarhyncha,TC007308
Sooty Shrike-Thrush,Colluricincla umbrina,TC007307
Sandstone Shrike-Thrush,Colluricincla woodwardi,TC007313
Gray Shrike-Thrush,Colluricincla harmonica,TC007314
Bower's Shrike-Thrush,Colluricincla boweri,TC007312
Black Pitohui,Melanorectes nigrescens,TC007321
Sangihe Whistler,Coracornis sanghirensis,TC007311
Maroon-backed Whistler,Coracornis raveni,TC007271
Olive Whistler,Pachycephala olivacea,TC007273
Red-lored Whistler,Pachycephala rufogularis,TC007274
Gilbert's Whistler,Pachycephala inornata,TC007275
Bare-throated Whistler,Pachycephala nudigula,TC007297
Fawn-breasted Whistler,Pachycephala orpheus,TC007287
Regent Whistler,Pachycephala schlegelii,TC007296
New Caledonian Whistler,Pachycephala caledonica,TC007293
Vogelkop Whistler,Pachycephala meyeri,TC007284
Sclater's Whistler,Pachycephala soror,TC007290
White-throated Whistler,Pachycephala vitiensis,TC013209
Fiji Whistler,Pachycephala graeffii,TC013201
Samoan Whistler,Pachycephala flavifrons,TC007294
Tongan Whistler,Pachycephala jacquinoti,TC007295
Hooded Whistler,Pachycephala implicata,TC007298
Bismarck Whistler,Pachycephala citreogaster,TC013198
Oriole Whistler,Pachycephala orioloides,TC013205
Rennell Whistler,Pachycephala feminina,TC013199
Rusty-breasted Whistler,Pachycephala fulvotincta,TC013200
Yellow-throated Whistler,Pachycephala macrorhyncha,TC013202
Black-chinned Whistler,Pachycephala mentalis,TC013204
Golden Whistler,Pachycephala pectoralis,TC007289
Black-tailed Whistler,Pachycephala melanura,TC007292
Morningbird,Pachycephala tenebrosa,TC007315
Brown-backed Whistler,Pachycephala modesta,TC007281
Lorentz's Whistler,Pachycephala lorentzi,TC007291
Golden-backed Whistler,Pachycephala aurea,TC007299
Yellow-bellied Whistler,Pachycephala philippinensis,TC007285
Bornean Whistler,Pachycephala hypoxantha,TC007282
Sulphur-bellied Whistler,Pachycephala sulfuriventer,TC007283
Mangrove Whistler,Pachycephala cinerea,TC007276
Green-backed Whistler,Pachycephala albiventris,TC007277
White-vented Whistler,Pachycephala homeyeri,TC007278
Island Whistler,Pachycephala phaionota,TC007279
Rusty Whistler,Pachycephala hyperythra,TC007280
Gray Whistler,Pachycephala simplex,TC013208
Wallacean Whistler,Pachycephala arctitorquis,TC007301
Drab Whistler,Pachycephala griseonota,TC007300
White-bellied Whistler,Pachycephala leucogastra,TC007303
Black-headed Whistler,Pachycephala monacha,TC007302
Rufous Whistler,Pachycephala rufiventris,TC007304
White-breasted Whistler,Pachycephala lanioides,TC007305
Whitehead,Mohoua albicilla,TC007261
Yellowhead,Mohoua ochrocephala,TC007262
Pipipi,Mohoua novaeseelandiae,TC007263
Mottled Whistler,Rhagologus leucostigma,TC007269
Crested Bellbird,Oreoica gutturalis,TC007268
Rufous-naped Whistler,Aleadryas rufinucha,TC007272
Crested Pitohui,Ornorectes cristatus,TC007319
Tiger Shrike,Lanius tigrinus,TC007323
Bull-headed Shrike,Lanius bucephalus,TC007324
Red-backed Shrike,Lanius collurio,TC007325
Red-tailed Shrike,Lanius phoenicuroides,TC007327
Isabelline Shrike,Lanius isabellinus,TC013611
Brown Shrike,Lanius cristatus,TC007330
Burmese Shrike,Lanius collurioides,TC007334
Emin's Shrike,Lanius gubernator,TC007335
Bay-backed Shrike,Lanius vittatus,TC007337
Long-tailed Shrike,Lanius schach,TC007338
Gray-backed Shrike,Lanius tephronotus,TC007339
Gray-capped Shrike,Lanius validirostris,TC007340
Loggerhead Shrike,Lanius ludovicianus,TC007341
Northern Shrike,Lanius excubitor,TC007342
Southern Gray Shrike,Lanius meridionalis,TC007344
Lesser Gray Shrike,Lanius minor,TC007345
Chinese Gray Shrike,Lanius sphenocercus,TC007346
Gray-backed Fiscal,Lanius excubitoroides,TC007347
Long-tailed Fiscal,Lanius cabanisi,TC007348
Taita Fiscal,Lanius dorsalis,TC007349
Somali Fiscal,Lanius somalicus,TC007350
Mackinnon's Shrike,Lanius mackinnoni,TC007351
Northern Fiscal,Lanius humeralis,TC013146
Southern Fiscal,Lanius collaris,TC013145
Souza's Shrike,Lanius souzae,TC007336
Newton's Fiscal,Lanius newtoni,TC007353
Masked Shrike,Lanius nubicus,TC007354
Woodchat Shrike,Lanius senator,TC007355
Yellow-billed Shrike,Corvinella corvina,TC007357
Magpie Shrike,Corvinella melanoleuca,TC007358
White-rumped Shrike,Eurocephalus rueppelli,TC007359
White-crowned Shrike,Eurocephalus anguitimens,TC007360
Black-headed Shrike-Babbler,Pteruthius rufiventer,TC009806
Pied Shrike-Babbler,Pteruthius flaviscapis,TC009807
Himalayan Shrike-Babbler,Pteruthius ripleyi,TC012558
Blyth's Shrike-Babbler,Pteruthius aeralatus,TC012302
Dalat Shrike-Babbler,Pteruthius annamensis,TC012438
Green Shrike-Babbler,Pteruthius xanthochlorus,TC009808
Black-eared Shrike-Babbler,Pteruthius melanotis,TC009809
Trilling Shrike-Babbler,Pteruthius aenobarbus,TC009810
Clicking Shrike-Babbler,Pteruthius intermedius,TC012377
White-bellied Erpornis,Erpornis zantholeuca,TC009874
Slaty Vireo,Vireo brevipennis,TC007361
White-eyed Vireo,Vireo griseus,TC007362
Thick-billed Vireo,Vireo crassirostris,TC007365
Mangrove Vireo,Vireo pallens,TC007368
Cozumel Vireo,Vireo bairdi,TC007372
San Andres Vireo,Vireo caribaeus,TC007373
Jamaican Vireo,Vireo modestus,TC007374
Cuban Vireo,Vireo gundlachii,TC007375
Puerto Rican Vireo,Vireo latimeri,TC007376
Flat-billed Vireo,Vireo nanus,TC007377
Bell's Vireo,Vireo bellii,TC007378
Black-capped Vireo,Vireo atricapilla,TC007382
Dwarf Vireo,Vireo nelsoni,TC007383
Gray Vireo,Vireo vicinior,TC007384
Blue Mountain Vireo,Vireo osburni,TC007385
Yellow-throated Vireo,Vireo flavifrons,TC007386
Plumbeous Vireo,Vireo plumbeus,TC007387
Cassin's Vireo,Vireo cassinii,TC007390
Blue-headed Vireo,Vireo solitarius,TC007394
Yellow-winged Vireo,Vireo carmioli,TC007397
Hutton's Vireo,Vireo huttoni,TC007398
Golden Vireo,Vireo hypochryseus,TC007401
Choco Vireo,Vireo masteri,TC007402
Warbling Vireo,Vireo gilvus,TC007403
Brown-capped Vireo,Vireo leucophrys,TC007406
Philadelphia Vireo,Vireo philadelphicus,TC007407
Red-eyed Vireo,Vireo olivaceus,TC007408
Noronha Vireo,Vireo gracilirostris,TC007412
Yellow-green Vireo,Vireo flavoviridis,TC007413
Black-whiskered Vireo,Vireo altiloquus,TC007414
Yucatan Vireo,Vireo magister,TC007415
Rufous-crowned Greenlet,Hylophilus poicilotis,TC007417
Gray-eyed Greenlet,Hylophilus amaurocephalus,TC007418
Lemon-chested Greenlet,Hylophilus thoracicus,TC007419
Gray-chested Greenlet,Hylophilus semicinereus,TC007420
Ashy-headed Greenlet,Hylophilus pectoralis,TC007421
Tepui Greenlet,Hylophilus sclateri,TC007422
Brown-headed Greenlet,Hylophilus brunneiceps,TC007423
Rufous-naped Greenlet,Hylophilus semibrunneus,TC007424
Dusky-capped Greenlet,Hylophilus hypoxanthus,TC007425
Buff-cheeked Greenlet,Hylophilus muscicapinus,TC007426
Scrub Greenlet,Hylophilus flavipes,TC007427
Olivaceous Greenlet,Hylophilus olivaceus,TC007428
Tawny-crowned Greenlet,Hylophilus ochraceiceps,TC007429
Golden-fronted Greenlet,Hylophilus aurantiifrons,TC007432
Lesser Greenlet,Hylophilus decurtatus,TC007433
Chestnut-sided Shrike-Vireo,Vireolanius melitophrys,TC007437
Green Shrike-Vireo,Vireolanius pulchellus,TC007438
Yellow-browed Shrike-Vireo,Vireolanius eximius,TC007439
Slaty-capped Shrike-Vireo,Vireolanius leucotis,TC007440
Rufous-browed Peppershrike,Cyclarhis gujanensis,TC007441
Black-billed Peppershrike,Cyclarhis nigrirostris,TC007447
Hooded Pitohui,Pitohui dichrous,TC007316
Variable Pitohui,Pitohui kirhocephalus,TC007320
Timor Oriole,Oriolus melanotis,TC007448
Buru Oriole,Oriolus bouroensis,TC012338
Tanimbar Oriole,Oriolus decipiens,TC012339
Seram Oriole,Oriolus forsteni,TC007450
Halmahera Oriole,Oriolus phaeochromus,TC007451
Brown Oriole,Oriolus szalayi,TC007452
Olive-backed Oriole,Oriolus sagittatus,TC007453
Green Oriole,Oriolus flavocinctus,TC007454
Dark-throated Oriole,Oriolus xanthonotus,TC007455
White-lored Oriole,Oriolus albiloris,TC007456
Philippine Oriole,Oriolus steerii,TC007457
Isabela Oriole,Oriolus isabellae,TC007458
Eurasian Golden Oriole,Oriolus oriolus,TC007459
Indian Golden Oriole,Oriolus kundoo,TC012572
African Golden Oriole,Oriolus auratus,TC007460
Black-naped Oriole,Oriolus chinensis,TC007461
Slender-billed Oriole,Oriolus tenuirostris,TC007462
Green-headed Oriole,Oriolus chlorocephalus,TC007463
Sao Tome Oriole,Oriolus crassirostris,TC007464
Western Black-headed Oriole,Oriolus brachyrhynchus,TC007465
Dark-headed Oriole,Oriolus monacha,TC007466
African Black-headed Oriole,Oriolus larvatus,TC007467
Black-tailed Oriole,Oriolus percivali,TC007468
Black-winged Oriole,Oriolus nigripennis,TC007469
Black-hooded Oriole,Oriolus xanthornus,TC007470
Black Oriole,Oriolus hosii,TC007471
Black-and-crimson Oriole,Oriolus cruentus,TC007472
Maroon Oriole,Oriolus traillii,TC007473
Silver Oriole,Oriolus mellianus,TC007474
Wetar Figbird,Sphecotheres hypoleucus,TC007476
Green Figbird,Sphecotheres viridis,TC007477
Australasian Figbird,Sphecotheres vieilloti,TC007478
Piopio,Turnagra capensis,TC007888
Square-tailed Drongo,Dicrurus ludwigii,TC007480
Shining Drongo,Dicrurus atripennis,TC007481
Fork-tailed Drongo,Dicrurus adsimilis,TC007482
Velvet-mantled Drongo,Dicrurus modestus,TC007483
Aldabra Drongo,Dicrurus aldabranus,TC007484
Comoro Drongo,Dicrurus fuscipennis,TC007485
Crested Drongo,Dicrurus forficatus,TC007486
Mayotte Drongo,Dicrurus waldenii,TC007487
Black Drongo,Dicrurus macrocercus,TC007488
Ashy Drongo,Dicrurus leucophaeus,TC007489
White-bellied Drongo,Dicrurus caerulescens,TC007491
Crow-billed Drongo,Dicrurus annectans,TC007492
Bronzed Drongo,Dicrurus aeneus,TC007493
Lesser Racket-tailed Drongo,Dicrurus remifer,TC007494
Hair-crested Drongo,Dicrurus hottentottus,TC007495
Balicassiao,Dicrurus balicassius,TC007496
Sulawesi Drongo,Dicrurus montanus,TC007497
Sumatran Drongo,Dicrurus sumatranus,TC007498
Wallacean Drongo,Dicrurus densus,TC007499
Ribbon-tailed Drongo,Dicrurus megarhynchus,TC007500
Spangled Drongo,Dicrurus bracteatus,TC007501
Tablas Drongo,Dicrurus menagei,TC007502
Andaman Drongo,Dicrurus andamanensis,TC007503
Greater Racket-tailed Drongo,Dicrurus paradiseus,TC007504
Sri Lanka Drongo,Dicrurus lophorinus,TC012805
Pygmy Drongo-Fantail,Chaetorhynchus papuensis,TC007479
Silktail,Lamprolia victoriae,TC007650
Black Fantail,Rhipidura atra,TC007527
Black-and-cinnamon Fantail,Rhipidura nigrocinnamomea,TC007510
Mindanao Blue-Fantail,Rhipidura superciliaris,TC007507
Visayan Blue-Fantail,Rhipidura samarensis,TC013288
Tablas Fantail,Rhipidura sauli,TC013289
Visayan Fantail,Rhipidura albiventris,TC013287
Blue-headed Fantail,Rhipidura cyaniceps,TC007508
Spotted Fantail,Rhipidura perlata,TC007517
Cinnamon-tailed Fantail,Rhipidura fuscorufa,TC007520
Cockerell's Fantail,Rhipidura cockerelli,TC007521
Northern Fantail,Rhipidura rufiventris,TC007515
Brown-capped Fantail,Rhipidura diluta,TC007519
Sooty Thicket-Fantail,Rhipidura threnothorax,TC007524
Black Thicket-Fantail,Rhipidura maculipectus,TC007525
White-bellied Thicket-Fantail,Rhipidura leucothorax,TC007526
Willie-wagtail,Rhipidura leucophrys,TC007518
Malaysian Pied-Fantail,Rhipidura javanica,TC007516
Philippine Pied-Fantail,Rhipidura nigritorquis,TC013630
White-throated Fantail,Rhipidura albicollis,TC007511
Spot-breasted Fantail,Rhipidura albogularis,TC007512
Rufous-tailed Fantail,Rhipidura phoenicura,TC007509
White-bellied Fantail,Rhipidura euryura,TC007513
White-browed Fantail,Rhipidura aureola,TC007514
Rufous-backed Fantail,Rhipidura rufidorsa,TC007543
Dimorphic Fantail,Rhipidura brachyrhyncha,TC007537
Bismarck Fantail,Rhipidura dahli,TC007545
Mussau Fantail,Rhipidura matthiae,TC007544
Malaita Fantail,Rhipidura malaitae,TC007546
Rusty-bellied Fantail,Rhipidura teysmanni,TC007538
Tawny-backed Fantail,Rhipidura superflua,TC007539
Streak-breasted Fantail,Rhipidura dedemi,TC007540
Long-tailed Fantail,Rhipidura opistherythra,TC007541
Palau Fantail,Rhipidura lepida,TC007542
Manus Fantail,Rhipidura semirubra,TC007547
Rufous Fantail,Rhipidura rufifrons,TC007548
Arafura Fantail,Rhipidura dryas,TC007549
Pohnpei Fantail,Rhipidura kubaryi,TC007550
Friendly Fantail,Rhipidura albolimbata,TC007522
Chestnut-bellied Fantail,Rhipidura hyperythra,TC007523
Brown Fantail,Rhipidura drownei,TC007529
Streaked Fantail,Rhipidura verreauxi,TC007534
Dusky Fantail,Rhipidura tenebrosa,TC007530
Rennell Fantail,Rhipidura rennelliana,TC007531
Kandavu Fantail,Rhipidura personata,TC007535
Samoan Fantail,Rhipidura nebulosa,TC007536
Gray Fantail,Rhipidura albiscapa,TC007532
Mangrove Fantail,Rhipidura phasiana,TC007528
New Zealand Fantail,Rhipidura fuliginosa,TC007533
Blue-capped Ifrita,Ifrita kowaldi,TC007895
Blue-headed Crested-Flycatcher,Trochocercus nitens,TC007554
